title,rating,runtime,imdb_rating,meta_score,genre,release_year,description,director,stars,votes,gross,img_src
Shazam!,PG-13,132,7,71,"Action, Adventure, Comedy",2019,A newly fostered young boy in search of his mother instead finds unexpected super powers and soon gains a powerful enemy.,David F. Sandberg,"Zachary Levi, Mark Strong, Asher Angel, Jack Dylan Grazer, ","377,356",$140.37M,"https://m.media-amazon.com/images/M/MV5BOWZhZjE4NGQtODg5Ni00MjQ1LWJmMzAtNzQ2N2M1NzYzMDJkXkEyXkFqcGdeQXVyMjMwNDgzNjc@._V1_UY209_CR0,0,140,209_AL_.jpg"
Home Sweet Home Alone,PG,93,3.6,35,"Comedy, Crime, Family",2021,A married couple tries to steal back a valuable heirloom from a troublesome kid.,Dan Mazer,"Ellie Kemper, Rob Delaney, Archie Yates, Aisling Bea, ","19,638",,"https://m.media-amazon.com/images/M/MV5BMDlkMzZiM2EtZDMxZC00ZWUwLTliMDMtMGMzMzE3NTEzMThiXkEyXkFqcGdeQXVyMTEzMTI1Mjk3._V1_UY209_CR13,0,140,209_AL_.jpg"
A Bad Moms Christmas,R,104,5.6,42,Comedy,2017,"As their own mothers drop in unexpectedly, our three under-appreciated and over-burdened moms rebel against the challenges and expectations of the Super Bowl for mothers: Christmas.",Jon Lucas,"Scott Moore, Mila Kunis, Kristen Bell, Kathryn Hahn, Jay Hernandez, ","56,624",$72.11M,"https://m.media-amazon.com/images/M/MV5BMTUwNTA4MDMxNl5BMl5BanBnXkFtZTgwMjE4NjQ0MzI@._V1_UY209_CR0,0,140,209_AL_.jpg"
Surviving Christmas,PG-13,91,5.4,19,"Comedy, Romance",2004,"A lonely, obnoxious young millionaire pays a family to spend Christmas with him.",Mike Mitchell,"Ben Affleck, Christina Applegate, James Gandolfini, Catherine O'Hara, ","27,067",$11.66M,"https://m.media-amazon.com/images/M/MV5BMTcwMTI4MTY3Ml5BMl5BanBnXkFtZTcwOTUzMjcyMQ@@._V1_UY209_CR1,0,140,209_AL_.jpg"
A Christmas Carol,TV-PG,95,7.4,,"Drama, Fantasy",1999,An old bitter miser who makes excuses for his uncaring nature learns real compassion when three ghosts visit him on Christmas Eve.,David Hugh Jones,"Patrick Stewart, Richard E. Grant, Joel Grey, Ian McNeice, ","10,570",,"https://m.media-amazon.com/images/M/MV5BZTBmZTM1YzgtNWM1NC00ODAyLWJmMzktZDFhYmZlYzMyMGYyXkEyXkFqcGdeQXVyNjc5NjEzNA@@._V1_UY209_CR8,0,140,209_AL_.jpg"
The Year Without a Santa Claus,TV-G,51,7.7,,"Animation, Comedy, Family",1974,"When a weary and discouraged Santa Claus considers skipping his Christmas Eve run one year, Mrs. Claus and his elves set out to change his mind.",Jules Bass,"Arthur Rankin Jr., Shirley Booth, Mickey Rooney, Dick Shawn, George S. Irving, ","11,270",,"https://m.media-amazon.com/images/M/MV5BMzk5OGFmMmQtNGVhZC00NGQ5LWE2M2MtZmRlYzZiNjYwMzM4XkEyXkFqcGdeQXVyNjc5NjEzNA@@._V1_UX140_CR0,0,140,209_AL_.jpg"
A Charlie Brown Christmas,TV-G,25,8.3,,"Animation, Comedy, Drama",1965,"Depressed at the commercialism he sees around him, Charlie Brown tries to find a deeper meaning to Christmas.",Bill Melendez,"Ann Altieri, Chris Doran, Sally Dryer, Bill Melendez, ","42,695",,"https://m.media-amazon.com/images/M/MV5BMzQ3M2JhNzMtNWQ2NS00N2IxLThmYTctMzkwYzJiMThiMjI4XkEyXkFqcGdeQXVyMDM2NDM2MQ@@._V1_UY209_CR0,0,140,209_AL_.jpg"
Fatman,R,100,5.9,40,"Action, Adventure, Comedy",2020,"A rowdy, unorthodox Santa Claus is fighting to save his declining business. Meanwhile, Billy, a neglected and precocious 12 year old, hires a hit man to kill Santa after receiving a lump of coal in his stocking.",Eshom Nelms,"Ian Nelms, Mel Gibson, Walton Goggins, Marianne Jean-Baptiste, Chance Hurstfield, ","29,172",,"https://m.media-amazon.com/images/M/MV5BOGI3NDNmNmMtZTRmZC00YmU5LWJiNTktYjZkMzlhNzhlODU4XkEyXkFqcGdeQXVyNzg3NjQyOQ@@._V1_UY209_CR1,0,140,209_AL_.jpg"
Nativity!,PG,105,6.4,,"Comedy, Family",2009,An uptight but secretly heartbroken primary school teacher's little white lie about Hollywood coming to see his class' nativity play grows like wildfire in his rag-tag school low on self-esteem.,Debbie Isitt,"Martin Freeman, Marc Wootton, Jason Watkins, Ashley Jensen, ","12,088",,"https://m.media-amazon.com/images/M/MV5BNmFjNTIxNzMtYzRiMi00ZTY4LWI4ZTktZjM3ZDUwZDViNzZiXkEyXkFqcGdeQXVyMTY5Nzc4MDY@._V1_UY209_CR4,0,140,209_AL_.jpg"
Batman Returns,PG-13,126,7.1,68,"Action, Crime, Fantasy",1992,"While Batman deals with a deformed man calling himself the Penguin wreaking havoc across Gotham with the help of a cruel businessman, a female employee of the latter becomes the Catwoman with her own vendetta.",Tim Burton,"Michael Keaton, Danny DeVito, Michelle Pfeiffer, Christopher Walken, ","322,680",$162.83M,"https://m.media-amazon.com/images/M/MV5BOGZmYzVkMmItM2NiOS00MDI3LWI4ZWQtMTg0YWZkODRkMmViXkEyXkFqcGdeQXVyODY0NzcxNw@@._V1_UY209_CR0,0,140,209_AL_.jpg"
Edward Scissorhands,PG-13,105,7.9,74,"Drama, Fantasy, Romance",1990,The solitary life of an artificial man - who was incompletely constructed and has scissors for hands - is upended when he is taken in by a suburban family.,Tim Burton,"Johnny Depp, Winona Ryder, Dianne Wiest, Anthony Michael Hall, ","515,997",$56.36M,"https://m.media-amazon.com/images/M/MV5BMWY2MGRkNjgtZDczNi00YWJjLTkwNmUtMTY0NTE5ZDhkZjgwXkEyXkFqcGdeQXVyMjUzOTY1NTc@._V1_UY209_CR0,0,140,209_AL_.jpg"
Single All the Way,TV-PG,99,6.2,49,"Comedy, Drama, Romance",2021,"Desperate to avoid his family's judgment about his perpetual single status, Peter convinces his best friend Nick to join him for the holidays and pretend that they're now in a relationship.",Michael Mayer,"Michael Urie, Philemon Chambers, Luke Macfarlane, Barry Bostwick, ","19,024",,"https://m.media-amazon.com/images/M/MV5BYTYzOWQ0ZTItMzU2OC00YmMyLWIzMGYtMTk1ZjcwNGIxYThjXkEyXkFqcGdeQXVyNzg5MzIyOA@@._V1_UY209_CR0,0,140,209_AL_.jpg"
Serendipity,PG-13,90,6.8,52,"Comedy, Romance",2001,"A couple search for each other years after the night they first met, fell in love, and separated, convinced that one day they'd end up together.",Peter Chelsom,"John Cusack, Kate Beckinsale, Jeremy Piven, Bridget Moynahan, ","119,511",$50.29M,"https://m.media-amazon.com/images/M/MV5BMzc3Yjg1MmUtODllMy00MmZkLTgyNDAtZDg0N2I4OWEzZTkxXkEyXkFqcGdeQXVyNTM0NTU5Mg@@._V1_UY209_CR0,0,140,209_AL_.jpg"
The Bishop's Wife,G,109,7.6,73,"Comedy, Drama, Fantasy",1947,A debonair angel comes to Earth to help an Episcopalian bishop and his wife in their quest to raise money for the new church.,Henry Koster,"Cary Grant, Loretta Young, David Niven, Monty Woolley, ","20,151",,"https://m.media-amazon.com/images/M/MV5BYzgyZjE2OWEtMjU2MS00NDk0LTkyZGEtODRkYzc2NjcxNDQyXkEyXkFqcGdeQXVyNjc5NjEzNA@@._V1_UX140_CR0,0,140,209_AL_.jpg"
Frosty the Snowman,TV-G,25,7.3,,"Animation, Short, Comedy",1969,A living snowman and a little girl struggle to elude a greedy magician who is after the snowman's magic hat.,Jules Bass,"Arthur Rankin Jr., Jackie Vernon, Billy De Wolfe, Jimmy Durante, Paul Frees, ","20,959",,"https://m.media-amazon.com/images/M/MV5BNTBiODU4ZWYtZDUzZi00MGRkLThjNWEtZGMyOWI4YWFhMjk4XkEyXkFqcGdeQXVyNjc5NjEzNA@@._V1_UX140_CR0,0,140,209_AL_.jpg"
Just Friends,PG-13,96,6.2,47,"Comedy, Romance",2005,"While visiting his hometown during Christmas, a man comes face-to-face with his old high-school crush and best friend--a woman whose rejection of him turned him into a ferocious womanizer.",Roger Kumble,"Ryan Reynolds, Amy Smart, Anna Faris, Chris Klein, ","125,453",$32.62M,"https://m.media-amazon.com/images/M/MV5BMjA0Mzg2NjUzMl5BMl5BanBnXkFtZTcwNDg2ODUzMQ@@._V1_UY209_CR0,0,140,209_AL_.jpg"
Time for Her to Come Home for Christmas,TV-G,84,6.6,,"Drama, Romance",2023,"Carly heads to a small town to lead a church choir at Christmastime, facing her first holiday season without her mother. While there, she connects with a man back in town after serving in the Army.",Ali Liebert,"Shenae Grimes-Beech, Chris Carmack, Grace Leer, Brian Markinson, ",502,,"https://m.media-amazon.com/images/M/MV5BZjJmMTgxZjgtNWVhMS00YjMxLTlhNDQtNzIyM2E2ODU3NGQ2XkEyXkFqcGdeQXVyMjk3MzY3MQ@@._V1_UX140_CR0,0,140,209_AL_.jpg"
Silver Linings Playbook,R,122,7.7,81,"Comedy, Drama, Romance",2012,"After a stint in a mental institution, former teacher Pat Solitano moves back in with his parents and tries to reconcile with his ex-wife. Things get more challenging when Pat meets Tiffany, a mysterious girl with problems of her own.",David O. Russell,"Bradley Cooper, Jennifer Lawrence, Robert De Niro, Jacki Weaver, ","734,121",$132.09M,"https://m.media-amazon.com/images/M/MV5BMTM2MTI5NzA3MF5BMl5BanBnXkFtZTcwODExNTc0OA@@._V1_UY209_CR0,0,140,209_AL_.jpg"
Bad Santa 2,R,92,5.6,38,"Comedy, Crime, Drama",2016,"Fueled by cheap whiskey, greed and hatred, Willie teams up once again with his angry little sidekick, Marcus, to knock off a Chicago charity on Christmas Eve.",Mark Waters,"Billy Bob Thornton, Kathy Bates, Tony Cox, Christina Hendricks, ","27,915",$17.78M,"https://m.media-amazon.com/images/M/MV5BMjM2MjE5Mzc4OF5BMl5BanBnXkFtZTgwMjc3NjEyMDI@._V1_UY209_CR0,0,140,209_AL_.jpg"
Scrooge,G,113,7.5,58,"Drama, Family, Fantasy",1970,"A musical retelling of Charles Dickens' classic novel about an old bitter miser taken on a journey of self-redemption, courtesy of several mysterious Christmas apparitions.",Ronald Neame,"Albert Finney, Alec Guinness, Edith Evans, Kenneth More, ","12,188",$3.70M,"https://m.media-amazon.com/images/M/MV5BMGFmYjgwZDctMzQ5OC00NmMwLTg2OGEtODUzZjU1MDQ4ZjliL2ltYWdlL2ltYWdlXkEyXkFqcGdeQXVyNzc5MjA3OA@@._V1_UX140_CR0,0,140,209_AL_.jpg"
Home for Christmas,TV-MA,29,7.7,,"Comedy, Drama, Romance",2019,"When the constant comments on her single status and society's expectations of the perfect family Christmas finally get to 30-year-old Johanne, she starts a 24-day hunt for a partner to bring home for Christmas.",Ida Elise Broch,"Dennis Storhøi, Oddgeir Thune, Hege Schøyen, ","16,410",,"https://m.media-amazon.com/images/M/MV5BZDViY2UzMzktMTViMS00NjY3LWJkYzItYjYxMGMwNzBiNzExXkEyXkFqcGdeQXVyMTkxNjUyNQ@@._V1_UY209_CR0,0,140,209_AL_.jpg"
Rise of the Guardians,PG,97,7.2,58,"Animation, Action, Adventure",2012,"When the evil spirit Pitch launches an assault on Earth, the Immortal Guardians team up to protect the innocence of children all around the world.",Peter Ramsey,"Hugh Jackman, Alec Baldwin, Isla Fisher, Chris Pine, ","189,439",$103.41M,"https://m.media-amazon.com/images/M/MV5BMTkzMjgwMDg1M15BMl5BanBnXkFtZTcwMTgzNTI1OA@@._V1_UX140_CR0,0,140,209_AL_.jpg"
I'll Be Home for Christmas,PG,86,5.5,,"Comedy, Family",1998,"A college student faces an impossible journey when he is left stranded in the desert, thousands of miles from home, with no money and only a few days left until Christmas.",Arlene Sanford,"Jonathan Taylor Thomas, Jessica Biel, Adam LaVorgna, Gary Cole, ","11,671",$12.21M,"https://m.media-amazon.com/images/M/MV5BYWM4ZmY4MGYtYmE5Zi00OTUxLThkM2MtZjQ3NjlmMTU1ZTJjXkEyXkFqcGdeQXVyNjMwMjk0MTQ@._V1_UY209_CR0,0,140,209_AL_.jpg"
Haul out the Holly: Lit Up,TV-G,84,5.7,,"Comedy, Romance",2023,"As the holidays approach, Emily and Jared are looking forward to celebrating the holidays together again.",Maclain Nelson,"Lacey Chabert, Wes Brown, Stephen Tobolowsky, Melissa Peterman, ",818,,"https://m.media-amazon.com/images/M/MV5BYTJlOTM0MjYtZjI2YS00MDlmLWE2NGQtZTNjOTExMmFkNDc4XkEyXkFqcGdeQXVyMTU4MzQzNDkx._V1_UX140_CR0,0,140,209_AL_.jpg"
Jingle Jangle: A Christmas Journey,PG,122,6.4,69,"Family, Fantasy, Musical",2020,"An imaginary world comes to life in a holiday tale of an eccentric toymaker, his adventurous granddaughter, and a magical invention that has the power to change their lives forever.",David E. Talbert,"Forest Whitaker, Keegan-Michael Key, Hugh Bonneville, Anika Noni Rose, ","20,265",,"https://m.media-amazon.com/images/M/MV5BMjVhYjBlMzEtZGMyYS00ODNjLTljYjEtNTdlYjAyNmI1OTZjXkEyXkFqcGdeQXVyNjEwNTM2Mzc@._V1_UY209_CR13,0,140,209_AL_.jpg"
Dash & Lily,TV-14,,7.5,,"Comedy, Drama, Romance",2020,"A whirlwind holiday romance builds as cynical Dash and optimistic Lily trade dares, dreams and desires in the notebook they pass back and forth at locations all across New York City.",Midori Francis,"Austin Abrams, Dante Brown, Troy Iwata, ","22,518",,"https://m.media-amazon.com/images/M/MV5BYmZmN2NlMjQtOTJiYS00ZmI4LWFmMTItNDk1ZDNmYTBkZDZiXkEyXkFqcGdeQXVyMDM2NDM2MQ@@._V1_UY209_CR5,0,140,209_AL_.jpg"
The Christmas Train,TV-G,99,6.4,,"Drama, Romance",2017,"A cynical journalist decides to take a train from Washington, D.C. to Los Angeles for Christmas to get inspiration for a story in honor of his late father. He gets to know the other passengers and runs into an old flame while aboard.",Ron Oliver,"Dermot Mulroney, Kimberly Williams-Paisley, Danny Glover, Joan Cusack, ","3,396",,"https://m.media-amazon.com/images/M/MV5BY2Y4NzE2NTEtNmIwMy00NjU0LWJiNTQtODIyYjUxZTA5YmU5XkEyXkFqcGdeQXVyNjk2Mjc2OTI@._V1_UX140_CR0,0,140,209_AL_.jpg"
A Merry Friggin' Christmas,PG-13,88,5.1,28,"Comedy, Drama",2014,"Boyd Mitchler and his family must spend Christmas with his estranged family of misfits. Upon realizing that he left all his son's gifts at home, he hits the road with his dad in an attempt to make the 8-hour round trip before sunrise.",Tristram Shapeero,"Joel McHale, Lauren Graham, Clark Duke, Oliver Platt, ","8,003",,"https://m.media-amazon.com/images/M/MV5BMTk1NDQ4MzE4Nl5BMl5BanBnXkFtZTgwNTU2NjY5MjE@._V1_UY209_CR2,0,140,209_AL_.jpg"
"Next Stop, Christmas",TV-G,84,7,,"Comedy, Drama, Fantasy",2021,Angie is determined to spend Christmas alone but her usual commuter ride turns into a Christmas train that drops her off in her home town in 2011.,Dustin Rikert,"Lyndsy Fonseca, Chandler Massey, Erika Slezak, Eric Freeman, ","2,701",,"https://m.media-amazon.com/images/M/MV5BMGI4ZDk3YmMtMmU4Mi00YmQ1LTkwOWYtNDZlZWVlNjY4NGQzXkEyXkFqcGdeQXVyMjkwMjY1MjI@._V1_UX140_CR0,0,140,209_AL_.jpg"
Little Women,PG,115,7.3,87,"Drama, Family, Romance",1994,The March sisters live and grow in post-Civil War America.,Gillian Armstrong,"Susan Sarandon, Winona Ryder, Kirsten Dunst, Claire Danes, ","62,422",$50.08M,"https://m.media-amazon.com/images/M/MV5BNzY2M2IzNWMtMWFkMS00ODk1LWI3NGYtNTBiYTc5MTA0Y2YzXkEyXkFqcGdeQXVyNDA5NTgxNjU@._V1_UY209_CR3,0,140,209_AL_.jpg"
A Christmas Prince,TV-PG,92,5.8,,"Comedy, Family, Romance",2017,"When a reporter goes undercover as a tutor to get the inside scoop on a playboy prince, she gets tangled in some royal intrigue and ends up finding love - but will she be able to keep up her lie?",Alex Zamm,"Rose McIver, Ben Lamb, Alice Krige, Honor Kneafsey, ","21,511",,"https://m.media-amazon.com/images/M/MV5BNWMzZTE4NTYtOGRiNi00YzQ2LWJiNjctMzk1NDU4NmY5ZGQwXkEyXkFqcGdeQXVyODIyMzA4NDc@._V1_UY209_CR1,0,140,209_AL_.jpg"
Prancer,G,103,6.4,,"Drama, Family, Fantasy",1989,"A farm girl nurses a wounded reindeer she believes is one of Santa's, hoping to bring it back to health in time for Christmas. Her holiday spirit inspires those around her, something her disheartened father is having trouble understanding.",John D. Hancock,"Sam Elliott, Cloris Leachman, Rutanya Alda, Abe Vigoda, ","6,185",$18.59M,"https://m.media-amazon.com/images/M/MV5BMjhlNDdhYWMtOTYxMi00MjU2LWJlZDctMDZkZTVmZmY1Mzk0XkEyXkFqcGdeQXVyNjMwMjk0MTQ@._V1_UX140_CR0,0,140,209_AL_.jpg"
Christmas Island,TV-G,84,6.7,,Romance,2023,"When a snowstorm diverts Kate's first private flight en route to Switzerland to Christmas Island, she must team up with an air traffic controller to secure her dream job as the family's pilot.",David Weaver,"Andrew W. Walker, Rachel Skarsten, Kate Drummond, Jefferson Brown, ","1,123",,"https://m.media-amazon.com/images/M/MV5BYTk0ZDA5MjktNWQ5OC00YTMzLWFmNmItNDQ2MDBjMGYyZmZlXkEyXkFqcGdeQXVyNjMzMjU5NTk@._V1_UX140_CR0,0,140,209_AL_.jpg"
My Christmas Hero,TV-PG,84,6.7,,"Drama, Family, Romance",2023,"Nicole is dedicated to helping military service members and their families, this Christmas with the help of many heroes she will be on a mission to honor a fallen soldier and bring much needed healing to this family.",Martin Wood,"Teryl Rothery, Candace Cameron Bure, Gabriel Hogan, Robin Dunne, ",432,,"https://m.media-amazon.com/images/M/MV5BOWE1MmQ1NGUtODk4OC00ODIwLWJjYWYtODExMjNiODlmYTllXkEyXkFqcGdeQXVyMTg5OTc1NQ@@._V1_UY209_CR1,0,140,209_AL_.jpg"
The Nutcracker,G,92,5.8,,"Family, Fantasy, Music",1993,"On Christmas Eve, a little girl named Marie falls asleep after a party at her house and dreams of a fantastic world where toys become larger than life.",Emile Ardolino,"Darci Kistler, Damian Woetzel, Kyra Nichols, Wendy Whelan, ","2,357",$2.12M,"https://m.media-amazon.com/images/M/MV5BOGFlNWFjYjUtYjY3YS00N2NmLWE4ODQtMTI5NGFiMGJlZTBiXkEyXkFqcGdeQXVyNTM5NzI0NDY@._V1_UY209_CR1,0,140,209_AL_.jpg"
12 Dates of Christmas,PG,90,6.3,,"Comedy, Family, Fantasy",2011,"A story that follows Kate, a young woman who after a horrible blind date on Christmas Eve, wakes up to find she is re-living that same day and date all over again.",James Hayman,"Laura Miyata, Vijay Mehta, Amy Smart, Audrey Dwyer, ","8,054",,"https://m.media-amazon.com/images/M/MV5BY2VkN2ZjZTYtZTdjMi00MGQyLTg4ZWMtNzhiNzY5YTQ4ZmZmXkEyXkFqcGdeQXVyMzU5NjU1MDA@._V1_UY209_CR8,0,140,209_AL_.jpg"
Time for Him to Come Home for Christmas,TV-G,84,7.5,,"Drama, Romance",2022,"Four days before Christmas, Elizabeth Athens receives a voicemail from a unknown number she doesn't recognize. In the message, a man's voice, whom she doesn't know, makes one final plea to the love of his life for a second chance.",David Winning,"Holland Roden, Tyler Hynes, Steve Bacic, Dion Karas, ","1,846",,"https://m.media-amazon.com/images/M/MV5BYTRkZTlhYmQtYjkyZS00YWM0LTljNjAtODJmOTdjOTVhYjUyXkEyXkFqcGdeQXVyMDA0Mjk4MQ@@._V1_UX140_CR0,0,140,209_AL_.jpg"
The Ref,R,97,6.9,59,"Comedy, Crime, Drama",1994,"A cat burglar is forced to take a bickering, dysfunctional family hostage on Christmas Eve.",Ted Demme,"Denis Leary, Judy Davis, Kevin Spacey, Robert J. Steinmiller Jr., ","26,135",$11.44M,"https://m.media-amazon.com/images/M/MV5BNDA2Yzg3ZGUtMmJlOC00NzY2LWIxMDYtODcwOTM0ZWZhNWQ0XkEyXkFqcGdeQXVyNjExODE1MDc@._V1_UY209_CR0,0,140,209_AL_.jpg"
Haul out the Holly,TV-G,84,6.1,,"Comedy, Drama, Fantasy",2022,"Emily arrives home hoping to visit her parents, only to find that they are going on a trip of their own. While she stays at her house for the holidays, her HOA is determined to get Emily involved in the neighborhood Christmas festivities.",Maclain Nelson,"Lacey Chabert, Wes Brown, Stephen Tobolowsky, Melissa Peterman, ","2,357",,"https://m.media-amazon.com/images/M/MV5BOWE2M2I1YjYtNzMzZC00OTQzLThjYjktYzYwYjEzYmNiZGRhXkEyXkFqcGdeQXVyOTg0NjAxMzI@._V1_UY209_CR1,0,140,209_AL_.jpg"
A Brush with Christmas,TV-PG,83,5.5,,"Comedy, Drama, Romance",2022,"Charlotte captures the local art scene while also helping her mother run the family restaurant. Charlotte throws out her painting to the Christmas art festival. Wyatt, seeing her discarded work, tries to find the mysterious artist who stole his heart.",Robin Dunne,"Jillian Murray, Joseph Cannata, Jan Skene, Farrah Aviva, ","1,170",,"https://m.media-amazon.com/images/M/MV5BOGYwYWQ0YmYtYjAxZC00ZDdlLTg2ZDMtMmJjN2Q3NzNhYjZiXkEyXkFqcGdeQXVyNjk2Mjc2OTI@._V1_UY209_CR8,0,140,209_AL_.jpg"
This Christmas,PG-13,117,6.3,63,"Comedy, Drama, Romance",2007,A Christmastime drama centered around the Whitfield family's first holiday together in four years.,Preston A. Whitmore II,"Regina King, Columbus Short, Delroy Lindo, Idris Elba, ","10,259",$49.12M,"https://m.media-amazon.com/images/M/MV5BMjE0NDY5Mzk2OF5BMl5BanBnXkFtZTYwNzI3MDM4._V1_UY209_CR0,0,140,209_AL_.jpg"
The Princess Switch,TV-PG,101,6.1,,"Comedy, Drama, Family",2018,"Competing in a Christmas baking competition in Belgravia, a Chicago baker bumps into the prince's fiancée--who looks just like her. They switch lives for two days.",Mike Rohl,"Vanessa Hudgens, Sam Palladio, Nick Sagar, Alexa Adeosun, ","30,806",,"https://m.media-amazon.com/images/M/MV5BMTYyMjYxMjEzOF5BMl5BanBnXkFtZTgwMjAwNDE3NjM@._V1_UY209_CR0,0,140,209_AL_.jpg"
A California Christmas,PG-13,106,5.8,,"Comedy, Drama, Romance",2020,"With his carefree lifestyle on the line, a wealthy charmer poses as a ranch hand to get a hardworking farmer to sell her family's land before Christmas.",Shaun Paul Piccinino,"Lauren Swickard, Josh Swickard, Ali Afshar, David Del Rio, ","11,145",,"https://m.media-amazon.com/images/M/MV5BOGNkMDFmZDQtODc3Yy00YjIzLTlmNGItMjFkZjRhNGQzM2YwXkEyXkFqcGdeQXVyMDIyNDQ0MQ@@._V1_UY209_CR4,0,140,209_AL_.jpg"
An Unexpected Christmas,TV-G,83,6.9,,Romance,2021,Emily works at an ad agency and is sent to her ex's hometown before Christmas. She arrives at the train station as her ex is picked up by his family. They mistakenly think Emily's still an item.,Michael Robison,"Tyler Hynes, Bethany Joy Lenz, Alison Wandzura, Lynda Boyd, ","2,657",,"https://m.media-amazon.com/images/M/MV5BMzQ3YWQ4YmUtYzhmOS00MzlkLTgyMDAtZmE3MmNiODk2M2FmXkEyXkFqcGdeQXVyOTUyNjcyNA@@._V1_UY209_CR14,0,140,209_AL_.jpg"
The Nativity Story,PG,101,6.8,52,"Adventure, Drama, Family",2006,A drama that focuses on the period in Mary and Joseph's life where they journeyed to Bethlehem for the birth of Jesus.,Catherine Hardwicke,"Keisha Castle-Hughes, Shohreh Aghdashloo, Oscar Isaac, Hiam Abbass, ","12,172",$37.63M,"https://m.media-amazon.com/images/M/MV5BMTc0MDM4MzM4Nl5BMl5BanBnXkFtZTcwNTczNzUzMQ@@._V1_UY209_CR0,0,140,209_AL_.jpg"
